"","site","series","year","ncor","ngsi","obr_type","defol_status","comp_code"
"1","DMJ","DMJ01","1810",0.3093,0.3084,"nd","nd",NA
"2","DMJ","DMJ01","1811",0.1027,0.1024,"nd","nd",NA
"3","DMJ","DMJ01","1812",0.3605,0.3595,"nd","nd",NA
"4","DMJ","DMJ01","1813",-0.0547,-0.0546,"nd","nd",NA
"5","DMJ","DMJ01","1814",0.1311,0.1307,"nd","nd",NA
"6","DMJ","DMJ01","1815",1.265,1.2616,"nd","nd",NA
"7","DMJ","DMJ01","1816",1.621,1.6166,"nd","nd",NA
"8","DMJ","DMJ01","1817",-0.0683,-0.0682,"nd","nd",NA
"9","DMJ","DMJ01","1818",-0.7444,-0.7424,"nd","nd",NA
"10","DMJ","DMJ01","1819",-0.3272,-0.3264,"nd","nd",NA
"11","DMJ","DMJ01","1820",-0.215,-0.2144,"nd","nd",NA
"12","DMJ","DMJ01","1821",1.3374,1.3338,"nd","nd",NA
"13","DMJ","DMJ01","1822",0.5667,0.5651,"nd","nd",NA
"14","DMJ","DMJ01","1823",0.7146,0.7127,"nd","nd",NA
"15","DMJ","DMJ01","1824",-0.2227,-0.2221,"nd","nd",NA
"16","DMJ","DMJ01","1825",-0.1706,-0.1701,"nd","nd",NA
"17","DMJ","DMJ01","1826",-1.7248,-1.7202,"nd","nd",NA
"18","DMJ","DMJ01","1827",-0.4271,-0.4259,"nd","nd",NA
"19","DMJ","DMJ01","1828",-0.7575,-0.7555,"nd","nd",NA
"20","DMJ","DMJ01","1829",0.1784,0.1779,"nd","nd",NA
"21","DMJ","DMJ01","1830",-0.3971,-0.3961,"nd","nd",NA
"22","DMJ","DMJ01","1831",1.3451,1.3415,"nd","nd",NA
"23","DMJ","DMJ01","1832",0.1768,0.1763,"nd","nd",NA
"24","DMJ","DMJ01","1833",-0.6899,-0.6881,"nd","nd",NA
"25","DMJ","DMJ01","1834",-0.2638,-0.2631,"nd","nd",NA
"26","DMJ","DMJ01","1835",1.6219,1.6176,"nd","nd",NA
