"series","first","last","years","n_events","tot_years","mean_duration"
"DMJ01",1810,1996,187,4,40,13
"DMJ02",1750,1996,247,6,66,13
"DMJ03",1830,1996,167,4,32,11
"DMJ04",1720,1996,277,8,82,12
"DMJ06",1700,1996,297,6,70,14
"DMJ07",1710,1996,287,7,86,14
"DMJ11",1900,1997,98,2,10,10
"DMJ14",1675,1996,322,9,104,13
"DMJ15",1730,1996,267,4,64,16
"DMJ16",1746,1996,251,7,78,13
"DMJ17",1733,1996,264,6,75,15
"DMJ22",1720,1996,277,5,47,12
"DMJ23",1675,1997,323,8,87,12
"DMJ24",1895,1996,102,3,19,10
"DMJ25",1680,1996,317,5,70,14
"DMJ26",1700,1996,297,6,70,14
"DMJ27",1710,1996,287,3,26,13
